[INFO ] 2025-12-02 15:00:07,824 [main] Logback logging API implementation is configured.
[INFO ] 2025-12-02 15:00:08,353 [main] Completed initialization in 909 ms
[INFO ] 2025-12-02 15:00:08,703 [repositories/ontology5] POST transaction start
[INFO ] 2025-12-02 15:00:08,731 [repositories/ontology5] transaction started
[INFO ] 2025-12-02 15:00:08,750 [repositories/ontology5] POST query 741379983
[INFO ] 2025-12-02 15:00:08,850 [repositories/ontology5] Request for query 741379983 is finished
[INFO ] 2025-12-02 15:00:08,867 [repositories/ontology5] POST query 952730896
[INFO ] 2025-12-02 15:00:08,869 [repositories/ontology5] Request for query 952730896 is finished
[INFO ] 2025-12-02 15:00:08,876 [repositories/ontology5] PUT txn operation
[INFO ] 2025-12-02 15:00:08,887 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-12-08 13:57:33,363 [main] Logback logging API implementation is configured.
[INFO ] 2025-12-08 13:57:33,847 [main] Completed initialization in 900 ms
[WARN ] 2025-12-08 14:00:36,299 [repositories/ontology5] Removing invalid lock 1@b34991a31389
[INFO ] 2025-12-08 14:00:36,328 [repositories/ontology5] POST transaction start
[INFO ] 2025-12-08 14:00:36,356 [repositories/ontology5] transaction started
[INFO ] 2025-12-08 14:00:36,375 [repositories/ontology5] POST query 741379983
[INFO ] 2025-12-08 14:00:36,486 [repositories/ontology5] Request for query 741379983 is finished
[INFO ] 2025-12-08 14:00:36,504 [repositories/ontology5] POST query 952730896
[INFO ] 2025-12-08 14:00:36,510 [repositories/ontology5] Request for query 952730896 is finished
[INFO ] 2025-12-08 14:00:36,518 [repositories/ontology5] PUT txn operation
[INFO ] 2025-12-08 14:00:36,528 [repositories/ontology5] PUT txn operation request finished.
